AK-47 | Aquamarine Revenge (Battle-Scarred)
M4A1-S | Hyper Beast (Minimal Wear)
M4A1-S | Hyper Beast (Well-Worn)
M4A1-S | Icarus Fell (Factory New)
M4A1-S | Icarus Fell (Minimal Wear)
M4A1-S | Mecha Industries (Battle-Scarred)
M4A1-S | Mecha Industries (Factory New)
M4A1-S | Mecha Industries (Field-Tested)
M4A1-S | Mecha Industries (Minimal Wear)
M4A1-S | Mecha Industries (Well-Worn)
M4A1-S | Printstream (Factory New)
M4A1-S | Printstream (Field-Tested)
M4A1-S | Printstream (Minimal Wear)
M4A4 | Asiimov (Battle-Scarred)
M4A4 | Asiimov (Field-Tested)
M4A4 | Asiimov (Well-Worn)
M4A4 | Buzz Kill (Battle-Scarred)
M4A4 | Buzz Kill (Factory New)
M4A4 | Buzz Kill (Field-Tested)
M4A4 | Buzz Kill (Minimal Wear)
M4A4 | Neo-Noir (Battle-Scarred)
M4A4 | Neo-Noir (Factory New)
M4A4 | Neo-Noir (Field-Tested)
M4A4 | Neo-Noir (Minimal Wear)
M4A4 | Royal Paladin (Battle-Scarred)
M4A4 | Royal Paladin (Factory New)
M4A4 | Royal Paladin (Field-Tested)
M4A4 | Royal Paladin (Minimal Wear)
M4A4 | Royal Paladin (Well-Worn)
M4A4 | The Emperor (Battle-Scarred)
M4A4 | The Emperor (Factory New)
M4A4 | The Emperor (Field-Tested)
M4A4 | The Emperor (Minimal Wear)
M4A4 | The Emperor (Well-Worn)
MAC-10 | Neon Rider (Factory New)
MP7 | Bloodsport (Factory New)
MP9 | Hot Rod (Factory New)
Nova | Hyper Beast (Factory New)
Nova | Hyper Beast (Field-Tested)
Nova | Hyper Beast (Minimal Wear)
P250 | Asiimov (Minimal Wear)
P90 | Asiimov (Factory New)
P90 | Asiimov (Field-Tested)
P90 | Asiimov (Minimal Wear)
SCAR-20 | Bloodsport (Factory New)
SCAR-20 | Cyrex (Factory New)
SCAR-20 | Cyrex (Field-Tested)
SCAR-20 | Cyrex (Minimal Wear)
SG 553 | Cyrex (Factory New)
SG 553 | Cyrex (Field-Tested)
Tec-9 | Fuel Injector (Factory New)
Tec-9 | Fuel Injector (Minimal Wear)
UMP-45 | Blaze (Factory New)
UMP-45 | Blaze (Minimal Wear)
USP-S | Kill Confirmed (Battle-Scarred)
USP-S | Kill Confirmed (Factory New)
USP-S | Kill Confirmed (Field-Tested)
USP-S | Kill Confirmed (Minimal Wear)
USP-S | Kill Confirmed (Well-Worn)
USP-S | Neo-Noir (Battle-Scarred)
USP-S | Neo-Noir (Factory New)
USP-S | Neo-Noir (Field-Tested)
USP-S | Neo-Noir (Minimal Wear)
USP-S | Neo-Noir (Well-Worn)
USP-S | Orion (Factory New)
USP-S | Orion (Field-Tested)
USP-S | Orion (Minimal Wear)
USP-S | Orion (Well-Worn)
USP-S | Printstream (Battle-Scarred)
USP-S | Printstream (Factory New)
USP-S | Printstream (Field-Tested)
USP-S | Printstream (Minimal Wear)
USP-S | Printstream (Well-Worn)
